category,code,description
P,0010,A Camshaft Position Actuator Circuit (Bank 1)
P,0011,A Camshaft Position - Timing Over-Advanced (Bank 1)
P,0012,A Camshaft Position - Timing Over-Retarded (Bank 1)
P,0013,B Camshaft Position Actuator Circuit (Bank 1)
P,0014,B Camshaft Position - Timing Over-Advanced (Bank 1)
P,0015,B Camshaft Position - Timing Over-Retarded (Bank 1)
P,0016,Crankshaft / Camshaft Position Correlation (Bank 1 Sensor A)
P,0017,Crankshaft / Camshaft Position Correlation (Bank 1 Sensor B)
P,0030,HO2S Heater Control Circuit (Bank 1 Sensor 1)
P,0031,HO2S Heater Control Circuit Low (Bank 1 Sensor 1)
P,0032,HO2S Heater Control Circuit High (Bank 1 Sensor 1)
P,0036,HO2S Heater Control Circuit (Bank 1 Sensor 2)
P,0037,HO2S Heater Control Circuit Low (Bank 1 Sensor 2)
P,0038,HO2S Heater Control Circuit High (Bank 1 Sensor 2)
P,0050,HO2S Heater Control Circuit (Bank 2 Sensor 1)
P,0100,Mass or Volume Air Flow Circuit Malfunction
P,0101,Mass or Volume Air Flow Circuit Range/Performance Problem
P,0102,Mass or Volume Air Flow Circuit Low Input
P,0103,Mass or Volume Air Flow Circuit High Input
P,0106,Manifold Absolute Pressure / Barometric Pressure Circuit Range/Performance
P,0107,Manifold Absolute Pressure / Barometric Pressure Circuit Low Input
P,0108,Manifold Absolute Pressure / Barometric Pressure Circuit High Input
P,0111,Intake Air Temperature Circuit Range/Performance Problem
P,0112,Intake Air Temperature Circuit Low Input
P,0113,Intake Air Temperature Circuit High Input
P,0116,Engine Coolant Temperature Circuit Range/Performance Problem
P,0117,Engine Coolant Temperature Circuit Low Input
P,0118,Engine Coolant Temperature Circuit High Input
P,0121,Throttle Position Sensor / Switch A Circuit Range/Performance Problem
P,0122,Throttle Position Sensor / Switch A Circuit Low Input
P,0123,Throttle Position Sensor / Switch A Circuit High Input
P,0125,Insufficient Coolant Temperature for Closed Loop Fuel Control
P,0128,Coolant Thermostat (Coolant Temperature Below Thermostat Regulating Temperature)
P,0130,O2 Sensor Circuit Malfunction (Bank 1 Sensor 1)
P,0131,O2 Sensor Circuit Low Voltage (Bank 1 Sensor 1)
P,0132,O2 Sensor Circuit High Voltage (Bank 1 Sensor 1)
P,0133,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1)
P,0134,O2 Sensor Circuit No Activity Detected (Bank 1 Sensor 1)
P,0135,O2 Sensor Heater Circuit Malfunction (Bank 1 Sensor 1)
P,0136,O2 Sensor Circuit Malfunction (Bank 1 Sensor 2)
P,0137,O2 Sensor Circuit Low Voltage (Bank 1 Sensor 2)
P,0138,O2 Sensor Circuit High Voltage (Bank 1 Sensor 2)
P,0139,O2 Sensor Circuit Slow Response (Bank 1 Sensor 2)
P,0140,O2 Sensor Circuit No Activity Detected (Bank 1 Sensor 2)
P,0141,O2 Sensor Heater Circuit Malfunction (Bank 1 Sensor 2)
P,0150,O2 Sensor Circuit Malfunction (Bank 2 Sensor 1)
P,0151,O2 Sensor Circuit Low Voltage (Bank 2 Sensor 1)
P,0152,O2 Sensor Circuit High Voltage (Bank 2 Sensor 1)
P,0153,O2 Sensor Circuit Slow Response (Bank 2 Sensor 1)
P,0154,O2 Sensor Circuit No Activity Detected (Bank 2 Sensor 1)
P,0155,O2 Sensor Heater Circuit Malfunction (Bank 2 Sensor 1)
P,0170,Fuel Trim Malfunction (Bank 1)
P,0171,System Too Lean (Bank 1)
P,0172,System Too Rich (Bank 1)
P,0173,Fuel Trim Malfunction (Bank 2)
P,0174,System Too Lean (Bank 2)
P,0175,System Too Rich (Bank 2)
P,0181,Fuel Temperature Sensor A Circuit Range/Performance
P,0182,Fuel Temperature Sensor A Circuit Low Input
P,0183,Fuel Temperature Sensor A Circuit High Input
P,0190,Fuel Rail Pressure Sensor Circuit Malfunction
P,0201,Injector Circuit Malfunction - Cylinder 1
P,0202,Injector Circuit Malfunction - Cylinder 2
P,0203,Injector Circuit Malfunction - Cylinder 3
P,0204,Injector Circuit Malfunction - Cylinder 4
P,0205,Injector Circuit Malfunction - Cylinder 5
P,0206,Injector Circuit Malfunction - Cylinder 6
P,0218,Transmission Over Temperature Condition
P,0221,Throttle Position Sensor / Switch B Circuit Range/Performance Problem
P,0222,Throttle Position Sensor / Switch B Circuit Low Input
P,0223,Throttle Position Sensor / Switch B Circuit High Input
P,0230,Fuel Pump Primary Circuit Malfunction
P,0234,Engine Overboost Condition
P,0261,Cylinder 1 Injector Circuit Low
P,0262,Cylinder 1 Injector Circuit High
P,0300,Random / Multiple Cylinder Misfire Detected
P,0301,Cylinder 1 Misfire Detected
P,0302,Cylinder 2 Misfire Detected
P,0303,Cylinder 3 Misfire Detected
P,0304,Cylinder 4 Misfire Detected
P,0305,Cylinder 5 Misfire Detected
P,0306,Cylinder 6 Misfire Detected
P,0325,Knock Sensor 1 Circuit Malfunction (Bank 1 or Single Sensor)
P,0326,Knock Sensor 1 Circuit Range/Performance (Bank 1 or Single Sensor)
P,0327,Knock Sensor 1 Circuit Low Input (Bank 1 or Single Sensor)
P,0328,Knock Sensor 1 Circuit High Input (Bank 1 or Single Sensor)
P,0335,Crankshaft Position Sensor A Circuit Malfunction
P,0336,Crankshaft Position Sensor A Circuit Range/Performance
P,0340,Camshaft Position Sensor A Circuit (Bank 1 or Single Sensor)
